codbottle;volume;weight;product;ALTEZZAMAX;DIAMETROMAX;DESCRIZIONECOLLO;GASATURAPROVV;TIPOFONDODESC;UNITAMISURA;bottletype;DESCPIANTA;DENOMPROVVBOTT;;FILLLEVEL;ALTEZZAPETALO;CODIMPUGNATURA;VOLUMERASOBOCCA;COD_TIPO_BOTTIGLIA;SPALLA;DISEGNOCOLLO
C005615_01;500;21;ACQUA PIATTA;220,5;64;COLLO PCO SECONDO DIS. CLIENTE;0;PIATTO;ml;NON DEFINITA;TONDA;EDELWEIS - 0.5L STILL;;35;;;515,7;ND;CONVESSA;PCO-CLIENTE
C300350_06;2000;46,7;BIBITA GASATA;345,8;102,9;28mm PCO 1881;4,2;PETALOIDE;ml;PEPSI CAROLINA;TONDA;2L Pepsi Carolina, 1881 - San Miguel Philippines;;42;51;;2037;PC;CONVESSA;N000051_86
C300403_00;750;32;BIBITA GASATA;265;75;COLLO PCO SECONDO DIS. CLIENTE;4,2;PETALOIDE;ml;FANTA SPLASH;TONDA;Hindustan Coca cola - Fanta 750 ml;;45;30;;781,8;FS;CONICA;PCO-CLIENTE
C300404_00;750;32;BIBITA GASATA;265;75;COLLO PCO SECONDO DIS. CLIENTE;4,2;PETALOIDE;ml;CONTOUR LP CILINDRICO;TONDA;Hindustan Coca Cola Contour 750 ml;;45;30;;771,4;CC;CONCAVA;PCO-CLIENTE
C300408_00;750;32;BIBITA GASATA;265;75;COLLO PCO SECONDO DIS. CLIENTE;4,2;PETALOIDE;ml;SPRITE;TONDA;Hindustan Coca cola - Sprite 750 ml;;45;30;;771,6;SP;CONICA;PCO-CLIENTE
C100267_00;250;24;SUCCO;182;53,5;COLLO GENERICO SECONDO DIS. CLIENTE;;NON STANDARD;ml;HEAT SET;TONDA;250 ml HOT FILL BOTTLE (ARCA ECUADOR);;17,83;;1;269,7;H;CONVESSA;DIS.CLIENTE
C100266_00;500;30,5;SUCCO;228;67;COLLO GENERICO SECONDO DIS. CLIENTE;;NON STANDARD;ml;HEAT SET;TONDA;500 ml HOT FILL BOTTLE (ARCA ECUADOR);;17,83;;1;526,7;H;CONVESSA;DIS.CLIENTE
C005609_02;1500;41;BIBITA GASATA;328;91;COLLO PCO SECONDO DIS. CLIENTE;4;PETALOIDE;ml;NON DEFINITA;TONDA;ROYAL DRINKS - 1500ml -;;42;38;;1527,4;ND;CONCAVA;PCO-CLIENTE
C005641_00;500;8,5;ACQUA PIATTA;199;67;26mm 969-1901-000;0;PIATTO;ml;NON DEFINITA;TONDA;COCA COLA COMPANY - NOAH light-weighting -;;25,8;;;522,3;ND;CONVESSA;N000111_19
C005608_01;500;22,5;BIBITA GASATA;217;69;COLLO PCO SECONDO DIS. CLIENTE;4;PETALOIDE;ml;NON DEFINITA;TONDA;ROYAL DRINKS - 500ml -;;38;24;;519,4;ND;CONCAVA;PCO-CLIENTE
C100265_00;250;20;BIBITA GASATA;168,3;56;COLLO PCO SECONDO DIS. CLIENTE;4,2;PETALOIDE;ml;FANTA SPLASH;TONDA;Fanta Bottle Splash - 0,25L - ARCA ECUADOR;;35,8;20;1;272,3;FS;CONVESSA;PCO-CLIENTE
C100264_00;1350;37;BIBITA GASATA;312;88,8;COLLO GENERICO SECONDO DIS. CLIENTE;4,2;PETALOIDE;ml;SPRITE;TONDA;Sprite Bottle - 1,35L - ARCA ECUADOR;;45,2;36;;1378,9;SP;CONCAVA;DIS.CLIENTE
C005633_01;500;28;ACQUA GASATA;226;69;COLLO PCO SECONDO DIS. CLIENTE;4;PETALOIDE;ml;NON DEFINITA;TONDA;ROYAL DRINKS - 500ml -CSD;;40;24;;515,5;ND;CONCAVA;PCO-CLIENTE
C005612_01;500;22;ISOTONICO;200;69;COLLO 38 mm SECONDO DIS. CLIENTE;0;PETALOIDE;ml;NON DEFINITA;TONDA;ROYAL DRINKS - 500ml - ISOTONICO;;40;18;;553,7;ND;CONVESSA;38 mm CLIENTE
C005611_01;500;22;ACQUA PIATTA;204;69;COLLO 38 mm SECONDO DIS. CLIENTE;1,2;PETALOIDE;ml;NON DEFINITA;TONDA;ROYAL DRINKS - 500ml -;;40;18;;549,1;ND;CONVESSA;38 mm CLIENTE
C005167_07;500;46,2;SUPERALCOLICO;195,6;88;29mm SINGLE THREAD;0;PIATTO;ml;NON DEFINITA;OVALE;PUTOKSNIS UAB 500 ml ALTIA flasks;;39;;;516,8;ND;NON STANDARD;N000155_04
C005168_07;350;39,8;SUPERALCOLICO;177,8;78,2;29mm SINGLE THREAD;0;PIATTO;ml;NON DEFINITA;OVALE;PUTOKSNIS UAB 350 ml ALTIA flasks;;38,5;;;366,3;ND;NON STANDARD;N000155_04
C005169_07;200;29,4;SUPERALCOLICO;152,7;65,5;29mm SINGLE THREAD;0;PIATTO;ml;NON DEFINITA;OVALE;PUTOKSNIS UAB 200 ml ALTIA flasks;;38,7;;;216,6;ND;NON STANDARD;N000155_04
C005639_01;1250;39;BIBITA GASATA;303;87,6;COLLO PCO SECONDO DIS. CLIENTE;4;PETALOIDE;ml;PEPSI CAROLINA;TONDA;PEPSI INDIA 1250 ml CAROLINA;;45,6;36;;1288,5;PC;CONVESSA;PCO-CLIENTE
C300399_00;620;12;ACQUA PIATTA;233,6;66;COLLO GENERICO SECONDO DIS. CLIENTE;0;PIATTO;ml;NON DEFINITA;TONDA;PERRIER VITTEL 0,6L NPL Water;;25;;;635,4;ND;CONVESSA;DIS.CLIENTE
C300398_01;620;12;ACQUA PIATTA;233,6;66;COLLO GENERICO SECONDO DIS. CLIENTE;0;PIATTO;ml;NON DEFINITA;TONDA;PERRIER VITTEL 0,6L NPL Water;;25;;;635,3;ND;CONVESSA;DIS.CLIENTE
C005311_05;12000;132,5;ACQUA PIATTA;335;240;55 mm FOR PUSH CAP;;PIATTO;ml;COLLASSABILE;QUADRA;ITOCHU MACHINE-TECHNOS CORP. 12 L QUADRO;;;;;12654;CL;CONVESSA;N000104_13
C300397_02;600;26;THE;226;70,5;"28mm PCO ""1881MODIF"" FOR HEATSET";0;NON STANDARD;ml;HEAT SET;TONDA;Ting Hsin HF 0,6 L New ice red bottle for ECS;;27;;1;632;H;CONVESSA;N000140_42
C300397_01;600;26;THE;226;70,5;"28mm PCO ""1881MODIF"" FOR HEATSET";0;NON STANDARD;ml;HEAT SET;TONDA;Ting Hsin HF 0,6 L New ice red bottle for ECS;;27;;1;632;H;CONVESSA;N000140_42
C100263_00;1500;37;BIBITA GASATA;312;88,5;COLLO GENERICO SECONDO DIS. CLIENTE;4,2;PETALOIDE;ml;FANTA SPLASH;TONDA;Fanta Bottle Splash - 1,35L - ARCA ECUADOR;;45,2;36;1;1395;FS;CONCAVA;DIS.CLIENTE
C005661_00;1500;39,5;ACQUA GASATA;332;95,5;COLLO PCO SECONDO DIS. CLIENTE;3,5;PETALOIDE;ml;NON DEFINITA;TONDA;KHAN TENGRI WATERS - 1500ml;;43;38;;1522,3;ND;CONVESSA;PCO-CLIENTE
C300407_01;600;24;THE;226;71;COLLO PCO SECONDO DIS. CLIENTE;0;NON STANDARD;ml;HEAT SET;TONDA;Ting Hsin HF 0,6 L New Red Tea bottle;;27;;;632,3;H;CONVESSA;PCO-CLIENTE
C300407_00;600;24;THE;226;71;COLLO PCO SECONDO DIS. CLIENTE;0;NON STANDARD;ml;HEAT SET;TONDA;Ting Hsin HF 0,6 L New Red Tea bottle;;27;;;632,3;H;CONVESSA;PCO-CLIENTE
C300400_01;600;27,9;THE;226;71,1;"28mm PCO ""1881MODIF"" FOR HEATSET";0;NON STANDARD;ml;HEAT SET;TONDA;Ting Hsin HF 0,6 L Fresh tea bottle for ECS;;27;;1;630;H;CONVESSA;N000140_42
C300394_01;600;26;THE;226;70,3;"28mm PCO ""1881MODIF"" FOR HEATSET";0;NON STANDARD;ml;HEAT SET;TONDA;Ting Hsin HF 0,6 L Fresh tea bottle for ECS;;27;;1;634,2;H;CONVESSA;N000140_42
C100262_00;3020;57;BIBITA GASATA;363;116,4;COLLO PCO SECONDO DIS. CLIENTE;4,2;PETALOIDE;ml;NON DEFINITA;TONDA;AGRICOMINSA 3020 ml bottle - Colombia;;46,2;51;;3062,8;ND;CONVESSA;PCO-CLIENTE
C100261_00;1700;40;BIBITA GASATA;300,2;95,6;COLLO PCO SECONDO DIS. CLIENTE;4,2;PETALOIDE;ml;NON DEFINITA;TONDA;AGRICOMINSA 1700 ml bottle - Colombia;;47,3;40;;1737,1;ND;CONVESSA;PCO-CLIENTE
