pref_drw;neck_drw;preform_weight;neck_weight;body_weight;length;thickness;max_diam;DiametroSottobaga;base_thikness;PartingLine;DiametroPLine;neck_nominal_diam;DIAMETRO_BAGA;DIAMETRO_INTERNO;neck_height;NUMEROPRINCIPI;shape;cycle_time;TON;cavitation;DescrizioneCollo;HEATSET
PN010231_00;N000114_06;30,60;1,90;28,70;110,00;3,90;24,13;27,70;3,12;18,00;27,30;29,00;33,50;25,10;12,60;3;Bell;13,40;500;72;29/25mm SHORTY NECK FINISH;n
PN006164_00;N000264_06;30,60;3,80;26,80;106,50;3,89;24,00;25,50;3,20;22,00;0,00;28,00;33,00;21,74;17,00;1;Bell;15,30;500;180;28mm PCO 1881;n
PN008616_00;N000264_49;30,10;3,10;27,00;122,00;2,85;26,00;25,70;2,31;42,00;25,97;28,00;32,00;21,74;17,00;1;Reverse;10,40;250;72;28mm PCO 1881 LIGHT;n
PN010100_00;N000034_28;30,00;3,95;26,05;98,75;3,15;27,90;34,80;2,72;17,00;34,80;38,00;41,10;31,30;12,00;1;Bell;11,70;250;48;38 mm NECK FINISH;n
PN009992_00;N000037_14;30,00;7,40;22,60;64,00;3,08;56,00;56,00;2,30;12,40;62,00;63,00;62,00;54,50;13,00;4;Straight;16,30;500;32;63mm 4 LEADS;s
PN008232_00;N000300_31;30,00;4,55;25,45;109,50;3,15;25,50;35,50;2,27;23,50;34,65;38,00;41,00;32,40;17,50;2;Bell;11,80;350;48;38mm BERICAP;n
PN008122_00;N000264_34;30,00;3,80;26,20;114,00;3,01;26,25;25,50;2,41;36,00;26,24;28,00;33,00;21,74;17,00;1;Reverse;11,50;250;96;28mm PCO 1881 ISBT-21;n
PN006351_00;N000187_98;30,00;4,16;25,84;96,00;3,11;30,00;36,00;2,33;22,50;0,00;38,00;41,00;33,42;16,50;3;Bell;12,50;350;96;38mm 3 LEADS - BC VENTED;n
PN005872_00;N000187_89;30,00;4,30;25,70;108,00;2,83;28,00;36,00;2,23;22,27;0,00;38,00;43,00;33,42;16,50;3;Bell;10,20;350;96;38mm 3 LEADS - BC VENTED;n
PN004003_01;N000187_39;30,00;4,40;25,60;110,21;2,88;25,89;36,50;2,31;21,57;0,00;38,00;43,00;33,40;16,50;3;Bell;12,20;500;96;38mm 3 LEADS;n
PN004003_00;N000187_39;30,00;4,40;25,60;110,21;2,88;25,89;36,50;2,31;21,57;0,00;38,00;43,00;33,40;16,50;3;Bell;12,20;500;96;38mm 3 LEADS;n
PN003603_00;N000013_86;30,00;5,00;25,00;125,50;2,64;26,00;25,80;2,07;42,00;25,99;28,00;33,00;21,74;21,00;1;Reverse;13,50;500;128;28mm PCO 1810;n
PN003603_00;N000013_86;30,00;5,00;25,00;125,50;2,64;26,00;25,80;2,07;42,00;25,99;28,00;33,00;21,74;21,00;1;Reverse;13,50;500;128;28mm PCO 1810;n
PN003258_00;N000140_58;30,00;5,00;25,00;104,50;3,63;25,08;25,70;2,90;30,00;0,00;28,00;33,00;21,74;21,00;1;Bell;13,50;500;96;28mm PCO 1810;n
PN010597_00;N000111_46;29,80;1,74;28,06;109,85;3,64;24,36;25,50;2,73;18,35;25,38;26,00;29,00;22,03;11,85;3;Bell;15,00;500;128;26mm 3 LEADS;n
PN010182_00;N000264_34;29,60;3,80;25,80;122,00;2,92;24,46;25,50;2,34;43,00;43,00;28,00;33,00;21,74;17,00;1;Bell;14,50;160;60;28mm PCO 1881 ISBT-21;n
PN010410_02;N000140_79;29,50;3,60;25,90;114,93;3,43;23,00;25,50;2,74;21,50;25,26;28,00;33,00;21,74;16,13;1;Bell;12,40;500;144;28mm PCO1873;n
PN009773_00;N000290_03;29,50;3,27;26,23;108,00;3,26;26,40;25,50;2,28;37,00;26,38;28,00;33,00;21,74;17,00;1;Reverse;11,50;500;144;28mm PCO 1881 LIGHT;n
PN003708_00;N000051_86;29,50;3,80;25,70;125,00;2,60;25,80;25,80;2,31;25,00;0,00;28,00;33,00;21,74;17,00;1;Straight;11,80;500;128;28mm PCO 1881;n
PN010561_01;N000140_59;29,00;3,80;25,20;115,00;3,13;24,36;25,50;2,35;23,50;25,38;28,00;33,00;21,74;17,00;1;Bell;13,50;500;128;28mm PCO 1881;n
PN009989_00;N000311_48;29,00;2,71;26,29;125,00;2,75;25,20;25,20;2,20;20,06;25,20;26,00;32,10;21,74;15,06;1;Straight;10,70;500;128;26/22 mm;n
PN008633_00;N000036_85;29,00;4,40;24,60;104,00;3,35;25,20;36,00;2,68;20,80;36,00;38,00;43,00;33,40;16,50;3;Bell;11,90;250;72;38 mm BERICAP VER.85;n
PN007654_00;N000003_24;29,00;3,20;25,80;124,00;2,87;24,70;28,00;2,29;24,50;27,53;30,00;34,00;25,10;18,50;3;Bell;10,90;500;128;30/25 mm NECK FINISH LIGHT VER. 24;n
PN003605_00;N000051_86;29,00;3,80;25,20;103,00;3,45;25,80;25,50;2,60;32,50;25,79;28,00;33,00;21,74;17,00;1;Reverse;13,70;500;128;28mm PCO 1881;n
PN006927_00;N000051_86;28,80;3,80;25,00;107,90;3,54;23,75;25,50;2,56;22,50;0,00;28,00;33,00;21,74;17,00;1;Bell;11,50;500;144;28mm PCO 1881;n
PN010362_00;N000264_34;28,50;3,80;24,70;100,10;3,54;25,70;25,70;2,66;22,00;25,69;28,00;33,00;21,74;17,00;1;Straight;12,10;500;144;28mm PCO 1881 ISBT-21;n
PN009774_00;N000311_13;28,50;2,68;25,82;108,00;3,26;26,40;25,50;2,24;37,00;26,38;26,00;33,00;21,74;15,06;1;Reverse;11,30;500;144;26/22 mm;n
PN007072_00;N000114_05;28,50;2,40;26,10;118,10;2,64;26,80;28,00;2,16;28,10;0,00;29,00;32,50;25,10;12,60;3;Bell;12,00;500;128;29/25mm SHORTY NECK FINISH;n
