commessa;model;matricola;region;country;branch;customer;yearmachine;yearstp;codmould;codbottle;LITRI
0R173;SFR 12 EVO 3;2561;E3 - East Europe;BIELORUSSIA;SIPA RUSSIA;SAVUSHKIN PRODUCT JSC;2016;2021;10076230;C004323_02;1
0R222;XTRA 6;2722;E1 - West Europe;PORTOGALLO;SIPA WEST EUROPE;SUMOL+COMPAL MARCAS, S.A.;2019;2021;10076261/00;C005220_00;0,33
0L507;SFL 4/4 WM;3044;NA - North America;STATIUNITI;SIPA NORTH AMERICA;GRAHAM PACKAGING COMPANY, L.P.;2022;2021;10076253/00;C008591_01;48 Oz
0L498;SFL 4/3 XL;3024;FE2 - Rest of Far East & Oceania;PHILIPPINES;SIPA FAR EAST;PHILIPPINE BOTTLING BEVERAGE MANUFACTURING CORP.;2023;2021;10076220/00;C008899_00;0,5
0L532;SFL 6/4 CIBLAB;3082;SA2 - Brazil;BRASILE;SIPA SOUTH AMERICA;QUIMICA AMPARO LTDA;2022;2021;10076127/00;C008906_01;1,6
0L455;SFL 6/6;2900;NA - North America;STATIUNITI;SIPA NORTH AMERICA;SILGAN PLASTICS CORPORATION;2020;2021;31078231/00;C201109_02;18 Oz
0R281;XTRA 6;2974;E1 - West Europe;ITALIA;SIPA WEST EUROPE;ITALCHIMICA SRL;2021;2021;10076239;C008735_03;0,6
0R173;SFR 12 EVO 3;2561;E3 - East Europe;BIELORUSSIA;SIPA RUSSIA;SAVUSHKIN PRODUCT JSC;2016;2021;10076192/00;C004317_02;0,4
0L520;SFL EVO 4/2 XL X;3066;SA1 - Mexico;MEXICO;SIPA MEXICO & ANDINA;ENVASES UNIVERSALES DE MEXICO;2021;2021;10076110/00;C008892_00;3,97
0L481;SFL EVO 4/4 N;2993;E3 - East Europe;BOSNIA-ERZEGOVINA;SIPA BALKANS;ZEMA D.O.O.;2021;2021;10076097/00;C006780_00;2
